1.	Russia	17,075,200	142,833,689
2.	Canada	9,984,670	35,181,704
3.	United States of America	9,826,630	320,050,716
4.	China	9,596,960	1,385,566,537
5.	Brazil	8,511,965	200,361,925
6.	Australia	7,686,850	23,342,553
7.	India	3,287,590	1,252,139,596
8.	Argentina	2,766,890	41,446,246
9.	Kazakhstan	2,717,300	16,440,586
10.	Algeria	2,381,740	39,208,194
11.	Congo, Dem. Rep. of the	2,345,410	67,513,677
12.	Greenland	2,166,086	56,987
13.	Saudi Arabia	2,149,690	28,828,870
14.	Mexico	1,972,550	122,332,399
15.	Indonesia	1,919,440	249,865,631
16.	Sudan	1,844,729	37,964,306
17.	Libya	1,759,540	6,201,521
18.	Iran	1,648,000	77,447,168
19.	Mongolia	1,564,116	2,839,073
20.	Peru	1,285,220	30,375,603
21.	Chad	1,284,000	12,825,314
22.	Niger	1,267,000	17,831,270
23.	Angola	1,246,700	21,471,618
24.	Mali	1,240,000	15,301,650
25.	South Africa	1,219,912	52,776,130
26.	Colombia	1,138,910	48,321,405
27.	Ethiopia	1,127,127	94,100,756
28.	Bolivia	1,098,580	10,671,200
29.	Mauritania	1,030,700	3,889,880
30.	Egypt	1,001,450	82,056,378
31.	Tanzania	945,087	49,253,126
32.	Nigeria	923,768	173,615,345
33.	Venezuela	912,050	30,405,207
34.	Namibia	825,418	2,303,315
35.	Pakistan	803,940	182,142,594
36.	Mozambique	801,590	25,833,752
37.	Turkey	780,580	74,932,641
38.	Chile	756,950	17,619,708
39.	Zambia	752,614	14,538,640
40.	Myanmar (Burma)	678,500	53,259,018
41.	Afghanistan	647,500	30,551,674
42.	South Sudan	644,329	11,296,173
43.	France	643,427	64,291,280
44.	Somalia	637,657	10,495,583
45.	Central African Republic	622,984	4,616,417
46.	Ukraine	603,700	45,238,805
47.	Botswana	600,370	2,021,144
48.	Madagascar	587,040	22,924,851
49.	Kenya	582,650	44,353,691
50.	Yemen	527,970	24,407,381
